10.1016/j.dib.2020.105247,"Ó Gallachóir, Brian",5,Engineering
10.1016/j.dib.2020.105527,"Rine, Kong Sher",5,Geosciences
10.1016/j.dib.2021.107029,"Traoré, Amidou Sissou",5,Biological sciences
10.1016/j.dib.2022.108442,"Ben-Miled, Zina",5,Computer & Mathematical sciences
10.1016/j.dib.2019.104689,"Tranchida, Giorgio', ""D'Agostino, Fabio"", 'Romano, Stefania",6,Geosciences
10.1016/j.dib.2015.02.012,"Sheung Law, Alice Yu",6,Biological sciences
10.1016/j.dib.2015.02.012,"Yee Yeung, Bonnie Ho",7,Biological sciences
10.1016/j.dib.2015.02.012,"Ching Chow, Sheung",8,Biological sciences
10.1016/j.dib.2017.08.008,"Fariza Sulaiman, Shaida",5,Medical sciences
10.1016/j.dib.2016.09.011,"Martín, M. Cruz",5,Biological sciences
10.1016/j.dib.2016.03.050,"Cardoso, G.F.",5,Biological sciences
10.1016/j.dib.2017.03.014,"Furse, Samuel",5,Biological sciences
10.1016/j.dib.2018.08.138,"Cho, Seungsik",5,Engineering
10.1016/j.dib.2019.104432,"Aouicha, Mohamed Ben",5,Computer & Mathematical sciences
10.1016/j.dib.2020.105644,"Franceschini, Giordano",5,Engineering
10.1016/j.dib.2020.106490,"Saber, Zahra",5,Geosciences
10.1016/j.dib.2016.05.008,"De Andrade Moral, Rafael",5,Biological sciences
10.1016/j.dib.2016.08.010,"Abo Elenien, Ossama M.",5,Physics & Chemistry
10.1016/j.dib.2019.104346,"Pratim Das, Partha",5,Geosciences
10.1016/j.dib.2016.08.019,"Magpantay, Larry I.",5,Medical sciences
10.1016/j.dib.2018.10.102,"Yurkova, M.S.",5,Computer & Mathematical sciences
10.1016/j.dib.2018.04.047,"Nunes, Gustavo Della-Flora",5,Medical sciences
10.1016/j.dib.2019.104548,"Bagci-Onder, Tugba",5,Biological sciences
10.1016/j.dib.2021.107590,"Bourlot, C. Le",5,Engineering
10.1016/j.dib.2020.105953,"Wong, Wilfred Hing Sang",5,Medical sciences
10.1016/j.dib.2020.105953,"Lp, Patrick",24,Medical sciences
10.1016/j.dib.2020.105229,"Chang, Kai Ming",5,Medical sciences
10.1016/j.dib.2016.08.062,"Oviedo V, Aida Y.",5,Medical sciences
10.1016/j.dib.2014.11.001,"Ali Khavarinejad, Ramzan",5,Biological sciences
10.1016/j.dib.2014.11.001,"Karimi Farsad, Laleh",7,Biological sciences
10.1016/j.dib.2014.11.001,"Hosseini Salekdeh, Ghasem",8,Biological sciences
10.1016/j.dib.2020.106393,"Zumbado, Manuel",5,Physics & Chemistry
10.1016/j.dib.2020.106393,"Henríquez-Hernández, Luis Alberto",6,Physics & Chemistry
10.1016/j.dib.2019.103942,"Benner, Jonas",5,Biological sciences
10.1016/j.dib.2019.103942,"Provenzale, Anotnello",6,Biological sciences
10.1016/j.dib.2019.104861,"Senan, Chandra",5,Engineering
10.1016/j.dib.2019.104861,"Ratcliffe, Ian",6,Engineering
10.1016/j.dib.2018.11.020,"Butzkueven, Helmut",5,Medical sciences
10.1016/j.dib.2018.11.020,"O’Brien, Terence",6,Medical sciences
10.1016/j.dib.2018.11.020,"Monif, Mastura",7,Medical sciences
10.1016/j.dib.2020.106154,"Khodaparasti, Hamed",4,Engineering
10.1016/j.dib.2020.105702,"Magaril, Elena",4,Engineering
10.1016/j.dib.2019.103975,"Hidalgo, Christopher",4,Geosciences
10.1016/j.dib.2021.107633,"Vlasea, Mihaela",4,Engineering
10.1016/j.dib.2020.106040,"Brown, Ralph B.",4,Social sciences & Humanities
10.1016/j.dib.2018.10.031,"Ludemann, Larry",4,Biological sciences
10.1016/j.dib.2021.106997,"Suila, Basil Yilareng', ""Meva'A, Jean Raymond Lucien",4,Engineering
10.1016/j.dib.2020.106495,"Gjerde, Oddbjørn",4,Engineering
10.1016/j.dib.2018.12.066,"Tomas, José M.",4,Social sciences & Humanities
10.1016/j.dib.2019.104336,"Benteke Momba, Maggy Ndombo",4,Medical sciences
10.1016/j.dib.2020.106410,"Cruz, Rufino Lozano-Santa",4,Geosciences
10.1016/j.dib.2020.105874,"Shiomi, Naoto",4,Medical sciences
10.1016/j.dib.2022.108193,"Farinha-Marques, Paulo",4,Biological sciences
10.1016/j.dib.2020.106499,"Guidotti, Silvia', ""D'Oro, Ugo"", 'Finco, Oretta",5,Biological sciences
10.1016/j.dib.2020.106499,"Bardelli, Monia",6,Biological sciences
10.1016/j.dib.2017.12.026,"Fornelli, Claudia",5,Biological sciences
10.1016/j.dib.2017.12.026,"Retta, Francesca",6,Biological sciences
10.1016/j.dib.2020.105887,"Gil, Cruz",5,Biological sciences
10.1016/j.dib.2016.01.045,"Leong, Melody Pui-Yee",5,Biological sciences
10.1016/j.dib.2016.01.045,"Leong, Jia-Wen",6,Biological sciences
10.1016/j.dib.2016.01.045,"Zainal Abidin, Shahidee",7,Biological sciences
10.1016/j.dib.2016.01.045,"Lee, Han-Chung",8,Biological sciences
10.1016/j.dib.2017.08.035,"Lobato, A.",4,Engineering
10.1016/j.dib.2018.04.127,"Baños, F. Guillermo Díaz",4,Physics & Chemistry
10.1016/j.dib.2016.07.028,"Phan, Anne",4,Biological sciences
10.1016/j.dib.2022.108225,"Saavedra, María Paula",4,Biological sciences
10.1016/j.dib.2022.108155,"Fabiano, Ezequiel Chimbioputo",4,Biological sciences
10.1016/j.dib.2022.108560,"Bessão de Assis, Geissianny",4,Geosciences
10.1016/j.dib.2020.105173,"Reza, Md Sumon",4,Engineering
10.1016/j.dib.2021.106805,"Marques, Joao G. Oliveira",4,Biological sciences
10.1016/j.dib.2022.108561,"Morataya, Sergio David Aldana",4,Social sciences & Humanities
10.1016/j.dib.2020.106595,"Abdullah, Manan",4,Geosciences
10.1016/j.dib.2015.10.009,"Veiga Almeida, Filipe",4,Engineering
10.1016/j.dib.2016.09.038,"Tsiaoussis, John",4,Biological sciences
10.1016/j.dib.2018.08.037,"Jun, Tae Hwan",4,Geosciences
10.1016/j.dib.2018.11.035,"Brancato, Ornella Roberta",4,Engineering
10.1016/j.dib.2016.12.023,"Chen, Hui",4,Biological sciences
10.1016/j.dib.2022.108171,"Paesano, Laura",4,Biological sciences
10.1016/j.dib.2019.104158,"Galvez Mejia, E.",4,Geosciences
10.1016/j.dib.2019.104920,"Zingenberg, Frederik Johan Buchardt",4,Medical sciences
10.1016/j.dib.2017.09.044,"Margarido, Lívia R. Manzine",4,Biological sciences
10.1016/j.dib.2016.05.002,"Li, Xuefei",4,Biological sciences
10.1016/j.dib.2019.104915,"Mateo, José Molina",4,Social sciences & Humanities
10.1016/j.dib.2016.04.029,"Kushwaha, S.K.",4,Biological sciences
10.1016/j.dib.2020.105600,"Becerril-Montekio, Victor",4,Medical sciences
10.1016/j.dib.2016.01.041,"Best, Gerrit",4,Biological sciences
10.1016/j.dib.2021.107550,"Proietti Ciolli, Claudia",4,Medical sciences
10.1016/j.dib.2017.08.053,"Dos Santos, Everton C.",4,Engineering
10.1016/j.dib.2017.08.053,"Marek Koza, Michael",12,Engineering
10.1016/j.dib.2020.105115,"Mckenna, Mary Clare",4,Medical sciences
10.1016/j.dib.2020.105115,"Hutchinson, Siobhan",9,Medical sciences
10.1016/j.dib.2019.104125,"Urban, Cícero De Andrade",9,Biological sciences
10.1016/j.dib.2018.10.122,"De Oliveira, Lucas Silva",4,Biological sciences
10.1016/j.dib.2018.10.122,"De Almeida Soares, Célia Maria",8,Biological sciences
10.1016/j.dib.2022.108283,"Kaflay, Sabi",6,Social sciences & Humanities
10.1016/j.dib.2022.108283,"Bam, Rajeev",7,Social sciences & Humanities
10.1016/j.dib.2022.108283,"Do, Tuyen",8,Social sciences & Humanities
10.1016/j.dib.2015.12.020,"Fazeli, Alireza",4,Engineering
10.1016/j.dib.2015.12.020,"Gonabadi, Navid",5,Engineering
10.1016/j.dib.2020.105972,"Nukhimovskaya, Yulia",4,Biological sciences
10.1016/j.dib.2020.105972,"Klink, Galya",5,Biological sciences
10.1016/j.dib.2020.106316,"Ekundayo, F.M.",4,Engineering
10.1016/j.dib.2020.106316,"Adedeji, P.A.",5,Engineering
10.1016/j.dib.2020.106366,"Chan, Andrew",4,Social sciences & Humanities
10.1016/j.dib.2020.106366,"Ma, Lucas",5,Social sciences & Humanities
10.1016/j.dib.2020.105312,"Maheshwari, Vedant",4,Engineering
10.1016/j.dib.2021.106904,"Gorbachenko, Oleg",4,Biological sciences
10.1016/j.dib.2021.106904,"Chaplygin, Victor",6,Biological sciences
10.1016/j.dib.2021.106904,"Mandzhieva, Saglara",7,Biological sciences
10.1016/j.dib.2020.106193,"Zhou, Zhou",4,Physics & Chemistry
10.1016/j.dib.2020.106576,"Alsabah, Muntadher Q.",4,Medical sciences
