Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2018.03.100,S0377027317304006,"['Lukács, Réka', 'Guillong, Marcel', 'Schmitt, Axel K.', 'Molnár, Kata', 'Bachmann, Olivier', 'Harangi, Szabolcs']","['Molnár, Kata', 'Harangi, Szabolcs', 'Lukács, Réka', 'Dunkl, István', 'Schmitt, Axel K.', 'Kiss, Balázs', 'Garamhegyi, Tamás', 'Seghedi, Ioan']",6,8,Earth and Planetary Sciences,Geosciences,0.108926237,0.8,6,0.666666667
10.1016/j.dib.2021.107619,S0166432821003776,"['Ryabushkina, Yulia A.', 'Shevelev, Oleg B.', 'Kisaretova, Polina E.', 'Sozonov, Nikita G.', 'Ayriyants, Kseniya A.', 'Bondar, Natalya P.', 'Reshetnikov, Vasiliy V.']","['Reshetnikov, Vasiliy V.', 'Ayriyants, Kseniya A.', 'Ryabushkina, Yulia A.', 'Sozonov, Nikita G.', 'Bondar, Natalya P.']",7,5,Biological Sciences,Biological sciences,0.108511436,0.714285714,5,0.5
10.1016/j.dib.2015.11.003,S0891584915010199,"['Schwarzer, Evelin', 'Gallo, Valentina', 'Valente, Elena', 'Ulliers, Daniela', 'Taglialatela-Scafati, Orazio', 'Arese, Paolo', 'Skorokhod, Oleksii A.']","['Skorokhod, Oleksii A.', 'Davalos-Schafler, Denise', 'Gallo, Valentina', 'Valente, Elena', 'Ulliers, Daniela', 'Notarpietro, Agata', 'Mandili, Giorgia', 'Novelli, Francesco', 'Taglialatela-Scafati, Orazio', 'Arese, Paolo', 'Schwarzer, Evelin', 'Persico, Marco']",7,12,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.108047103,1,9,0.583333333
10.1016/j.dib.2018.01.094,S0925400517321305,"['Zeng, Cheng-Hui', 'Li, Hao-Ran', 'Liu, Zi-Qi', 'Chen, Fei', 'Zhong, Shengliang']","['Zheng, Kai', 'Liu, Zi-Qi', 'Huang, Yi', 'Chen, Fei', 'Zeng, Cheng-Hui', 'Zhong, Shengliang', 'Ng, Seik Weng']",5,7,Chemistry,Physics & Chemistry,0.107386577,0.875,6,0.533333333
10.1016/j.dib.2017.03.033,S014181301630650X,"['Zheng, Yuanyuan', 'Han, Jianmei', 'Wang, Yuping', 'Jiang, Qi', 'Wang, Yue', 'Lv, Li', 'Xiao, Rong', 'Wang, Jihong']","['Jiang, Qi', 'Li, Qingwei', 'Han, Jianmei', 'Gou, Meng', 'Zheng, Yuanyuan', 'Li, Bowen', 'Xiao, Rong', 'Wang, Jihong']",8,8,Proteomics and Biochemistry,Biological sciences,0.106802054,0.727272727,9,0.421052632
10.1016/j.dib.2021.107080,S0891584920316786,"['Liu, Zhaoyan', 'Zhu, Wei', 'Gnatenko, Dmitri V.', 'Nesbitt, Natasha M.', 'Bahou, Wadie F.']","['Nesbitt, Natasha M.', 'Malone, Lisa E.', 'Liu, Zhaoyan', 'Jares, Alexander', 'Gnatenko, Dmitri V.', 'Ma, Yupo', 'Zhu, Wei', 'Bahou, Wadie F.']",5,8,Biological Sciences,Biological sciences,0.106802054,1,8,0.5
10.1016/j.dib.2021.107270,S0041008X21000776,"['Golden, Thea', 'Murray, Alexa', 'Venosa, Alessandro', 'Gow, Andrew J.']","['Venosa, Alessandro', 'Gow, James G.', 'Taylor, Sheryse', 'Golden, Thea N.', 'Murray, Alexa', 'Abramova, Elena', 'Malaviya, Rama', 'Laskin, Debra L.', 'Gow, Andrew J.']",4,9,Biological Sciences,Biological sciences,0.105366073,0.9,5,0.736842105
10.1016/j.dib.2021.107607,S0031942221002855,"['Afifudeen, C. L. Wan', 'Loh, Saw Hong', 'Wong, Li Lian', 'Aziz, Ahmad', 'Takahashi, Kazutaka', 'Wahid, Mohd Effendy Abd', 'Cha, Thye San']","['Wan Afifudeen, C.L.', 'Aziz, Ahmad', 'Wong, Li Lian', 'Takahashi, Kazutaka', 'Toda, Tatsuki', 'Abd Wahid, Mohd Effendy', 'Cha, Thye San']",7,7,Biological Sciences,Biological sciences,0.104761905,0.7,7,0.470588235
10.1016/j.dib.2021.107420,S0273230021001173,"['Black, Michael B.', 'Andersen, Melvin E.', 'Pendse, Salil N.', 'Borghoff, Susan J.', 'Streicker, Michael', 'Mcmullen, Patrick D.']","['Borghoff, Susan J.', 'Fitch, Seneca E.', 'Black, Michael B.', 'Mcmullen, Patrick D.', 'Andersen, Melvin E.', 'Chappell, Grace A.']",6,6,Biological Sciences,Biological sciences,0.103703704,0.75,6,0.428571429
10.1016/j.dib.2018.03.031,S000326971730430X,"['Mótyán, János András', 'Miczi, Márió', 'Bozóki, Beáta', 'Tőzsér, József']","['Bozóki, Beáta', 'Gazda, Lívia', 'Tóth, Ferenc', 'Miczi, Márió', 'Mótyán, János András', 'Tőzsér, József']",4,6,Proteomics and Biochemistry,Biological sciences,0.103703704,1,6,0.5
